Name,len512,len1024,len2048,len4096
Rectangular,NaN,NaN,NaN,NaN
Bartlett,0.2253,0.22535,0.22538,0.22539
Hann,0.22903,0.22911,0.22915,0.22917
Hanning,0.22903,0.22911,0.22915,0.22917
Blackman,0.13056,0.13057,0.13058,0.13058
Blackman_Harris,0.08552,0.08553,0.08553,0.08554
Hamming,0.18505,0.18575,0.18611,0.18628
Bartlett_Hann,0.21635,0.21642,0.21645,0.21647
Gaussian,0.12024,0.12074,0.12099,0.12112
Slepian,0.11144,0.11144,0.11144,0.11144
Kaiser_Bessel,0.28214,0.2827,0.28298,0.28312
Nuttall,0.08153,0.08155,0.08157,0.08157
Dolph_Chebychev,0.08403,0.08403,0.08404,0.08404
Tukey,0.50592,0.50609,0.50618,0.50622
